,Path,target
17,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_238012.jpg,BAS
18,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_752996.jpg,BAS
19,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_482919.jpg,BAS
20,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_23839.jpg,BAS
21,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_535962.jpg,BAS
22,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_961010.jpg,BAS
23,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_77298.jpg,BAS
24,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_499861.jpg,BAS
25,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_620858.jpg,BAS
26,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_633824.jpg,BAS
27,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_391096.jpg,BAS
28,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_579017.jpg,BAS
29,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_152930.jpg,BAS
30,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_254321.jpg,BAS
31,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_56068.jpg,BAS
32,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_931425.jpg,BAS
33,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_99625.jpg,BAS
34,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_278185.jpg,BAS
35,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_594363.jpg,BAS
36,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_464090.jpg,BAS
37,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_661622.jpg,BAS
38,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_412674.jpg,BAS
39,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_250620.jpg,BAS
40,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_991876.jpg,BAS
41,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_472802.jpg,BAS
42,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_842435.jpg,BAS
43,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_754114.jpg,BAS
44,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_4744.jpg,BAS
45,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_754100.jpg,BAS
46,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_746935.jpg,BAS
47,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_723161.jpg,BAS
48,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_2862.jpg,BAS
49,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_510275.jpg,BAS
50,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_809385.jpg,BAS
51,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_545506.jpg,BAS
52,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_563270.jpg,BAS
53,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_893495.jpg,BAS
54,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_215988.jpg,BAS
55,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_659008.jpg,BAS
56,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_434512.jpg,BAS
57,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_313484.jpg,BAS
58,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_275073.jpg,BAS
59,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_41844.jpg,BAS
60,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_377664.jpg,BAS
61,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_509334.jpg,BAS
62,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_121897.jpg,BAS
63,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_463847.jpg,BAS
64,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_49997.jpg,BAS
65,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_833409.jpg,BAS
66,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_196807.jpg,BAS
67,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_30267.jpg,BAS
68,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_988506.jpg,BAS
69,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_124938.jpg,BAS
70,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_994113.jpg,BAS
71,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_372252.jpg,BAS
72,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_83911.jpg,BAS
73,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_845210.jpg,BAS
74,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_629062.jpg,BAS
75,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_775053.jpg,BAS
76,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_353263.jpg,BAS
77,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_345373.jpg,BAS
78,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_577373.jpg,BAS
79,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_219183.jpg,BAS
80,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_270647.jpg,BAS
81,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_356694.jpg,BAS
82,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_48862.jpg,BAS
83,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_426699.jpg,BAS
84,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_163898.jpg,BAS
85,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_318538.jpg,BAS
86,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_830328.jpg,BAS
87,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_49215.jpg,BAS
88,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_691060.jpg,BAS
89,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_312613.jpg,BAS
90,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_529390.jpg,BAS
91,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_214538.jpg,BAS
92,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_279501.jpg,BAS
93,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_912566.jpg,BAS
94,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_128084.jpg,BAS
95,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_904489.jpg,BAS
96,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_383453.jpg,BAS
97,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_464087.jpg,BAS
98,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_731764.jpg,BAS
99,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_174705.jpg,BAS
100,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_177230.jpg,BAS
101,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_970453.jpg,BAS
102,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_608126.jpg,BAS
103,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_892429.jpg,BAS
104,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_558965.jpg,BAS
105,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_987742.jpg,BAS
106,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_886460.jpg,BAS
107,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_525742.jpg,BAS
108,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_262646.jpg,BAS
109,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_393442.jpg,BAS
110,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_218471.jpg,BAS
111,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_385552.jpg,BAS
112,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_329684.jpg,BAS
113,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_320878.jpg,BAS
114,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_114542.jpg,BAS
115,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_436500.jpg,BAS
116,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_892159.jpg,BAS
117,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_266178.jpg,BAS
118,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_263028.jpg,BAS
119,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_309583.jpg,BAS
120,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_25245.jpg,BAS
121,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_659962.jpg,BAS
122,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_309434.jpg,BAS
123,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_895971.jpg,BAS
124,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_724023.jpg,BAS
125,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_602999.jpg,BAS
126,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_279676.jpg,BAS
127,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_990612.jpg,BAS
128,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_490072.jpg,BAS
129,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_552455.jpg,BAS
130,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_285156.jpg,BAS
131,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_807787.jpg,BAS
132,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_556627.jpg,BAS
133,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_461909.jpg,BAS
134,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_386305.jpg,BAS
135,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_284260.jpg,BAS
136,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_938239.jpg,BAS
137,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_430561.jpg,BAS
138,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_640980.jpg,BAS
139,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_888511.jpg,BAS
140,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_38638.jpg,BAS
141,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_379312.jpg,BAS
142,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_237069.jpg,BAS
143,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_398846.jpg,BAS
144,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_486837.jpg,BAS
145,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_406945.jpg,BAS
146,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_855006.jpg,BAS
147,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_618537.jpg,BAS
148,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_420010.jpg,BAS
149,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_154572.jpg,BAS
150,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_141631.jpg,BAS
151,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_564691.jpg,BAS
152,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_688859.jpg,BAS
153,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_76584.jpg,BAS
154,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_408987.jpg,BAS
155,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_381452.jpg,BAS
156,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_32675.jpg,BAS
157,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_804739.jpg,BAS
158,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_790227.jpg,BAS
159,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_484573.jpg,BAS
160,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_872678.jpg,BAS
161,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_84276.jpg,BAS
162,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_455128.jpg,BAS
163,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_885582.jpg,BAS
164,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_769899.jpg,BAS
165,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_417333.jpg,BAS
166,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_59759.jpg,BAS
167,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_35708.jpg,BAS
168,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_372647.jpg,BAS
169,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_101611.jpg,BAS
170,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_812946.jpg,BAS
171,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_546746.jpg,BAS
172,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_500713.jpg,BAS
173,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_188974.jpg,BAS
174,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_981874.jpg,BAS
175,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_74973.jpg,BAS
176,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_583432.jpg,BAS
177,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_988844.jpg,BAS
178,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_451206.jpg,BAS
179,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_276179.jpg,BAS
180,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_654891.jpg,BAS
181,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_677090.jpg,BAS
182,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_744466.jpg,BAS
183,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_332707.jpg,BAS
184,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_221009.jpg,BAS
185,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_515691.jpg,BAS
186,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_183362.jpg,BAS
187,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_880798.jpg,BAS
188,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_835645.jpg,BAS
189,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_636027.jpg,BAS
190,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_19779.jpg,BAS
191,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_237864.jpg,BAS
192,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_893914.jpg,BAS
193,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_490880.jpg,BAS
194,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_852185.jpg,BAS
195,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_995394.jpg,BAS
196,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_540646.jpg,BAS
197,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_794444.jpg,BAS
198,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_178853.jpg,BAS
199,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_911725.jpg,BAS
200,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_344479.jpg,BAS
201,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_332289.jpg,BAS
202,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_40355.jpg,BAS
203,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_589888.jpg,BAS
204,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_421910.jpg,BAS
205,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_684441.jpg,BAS
206,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_999747.jpg,BAS
207,/Users/arthurnicolas/Desktop/Code/Projet DataScientest/Images/PBC_dataset_normal_DIB/basophil/BA_78609.jpg,BAS
