Path,target,target_numerique,prediction
Images/PBC_dataset_normal_DIB\erythroblast/ERB_91181.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\basophil/BA_747919.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\platelet/PLATELET_700967.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\ig/MY_832790.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\basophil/BA_702934.jpg,BA,5,IG
Images/PBC_dataset_normal_DIB\eosinophil/EO_327928.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\platelet/PLATELET_450110.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\lymphocyte/LY_884721.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\neutrophil/BNE_976865.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\basophil/BA_949913.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\eosinophil/EO_278488.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\monocyte/MO_988224.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\eosinophil/EO_849675.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\ig/MMY_75636.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\neutrophil/BNE_58419.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\lymphocyte/LY_898862.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\ig/MMY_64547.jpg,IG,3,BA
Images/PBC_dataset_normal_DIB\eosinophil/EO_975861.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\neutrophil/BNE_277683.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\eosinophil/EO_948482.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\eosinophil/EO_1651.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\platelet/PLATELET_454523.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\erythroblast/ERB_546850.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\neutrophil/SNE_341311.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\neutrophil/BNE_693172.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\eosinophil/EO_769690.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\neutrophil/BNE_707709.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\eosinophil/EO_115792.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\neutrophil/BNE_213353.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\basophil/BA_608637.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\ig/MY_585586.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\neutrophil/SNE_361921.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\platelet/PLATELET_223777.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\platelet/PLATELET_154291.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\erythroblast/ERB_950148.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\eosinophil/EO_814189.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\eosinophil/EO_694062.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\ig/IG_545112.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\erythroblast/ERB_530391.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\eosinophil/EO_754156.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\eosinophil/EO_821178.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\ig/MY_44187.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\monocyte/MO_267447.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\basophil/BA_891878.jpg,BA,5,LY
Images/PBC_dataset_normal_DIB\ig/MMY_998145.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\monocyte/MO_435631.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\basophil/BA_266370.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\erythroblast/ERB_773745.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\platelet/PLATELET_415362.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\basophil/BA_833409.jpg,BA,5,IG
Images/PBC_dataset_normal_DIB\eosinophil/EO_303353.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\ig/MY_985400.jpg,IG,3,MO
Images/PBC_dataset_normal_DIB\eosinophil/EO_346565.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\eosinophil/EO_481692.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\basophil/BA_330244.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\eosinophil/EO_10690.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\ig/MMY_695964.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\ig/PMY_207044.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\neutrophil/SNE_490067.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\ig/MY_337697.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\neutrophil/BNE_592960.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\platelet/PLATELET_633259.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\neutrophil/SNE_339538.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\neutrophil/BNE_157937.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\neutrophil/BNE_573024.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\platelet/PLATELET_982153.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\eosinophil/EO_146319.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\ig/MMY_119030.jpg,IG,3,MO
Images/PBC_dataset_normal_DIB\erythroblast/ERB_124663.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\eosinophil/EO_96794.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\eosinophil/EO_58611.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\neutrophil/BNE_437992.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\neutrophil/SNE_291570.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\monocyte/MO_601397.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\monocyte/MO_612179.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\erythroblast/ERB_226523.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\eosinophil/EO_23466371.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\eosinophil/EO_801.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\neutrophil/BNE_239868.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\ig/MY_829718.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\platelet/PLATELET_210649.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\ig/MY_892293.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\neutrophil/BNE_658440.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\platelet/PLATELET_147877.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\platelet/PLATELET_113142.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\monocyte/MO_212554.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\lymphocyte/LY_254174.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\neutrophil/SNE_977005.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\eosinophil/EO_36495.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\eosinophil/EO_155258.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\eosinophil/EO_161563.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\ig/PMY_232995.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\ig/PMY_941302.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\ig/MMY_745800.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\neutrophil/SNE_745606.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\neutrophil/NEUTROPHIL_680394.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\ig/MY_991653.jpg,IG,3,MO
Images/PBC_dataset_normal_DIB\eosinophil/EO_768445.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\basophil/BA_545901.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\eosinophil/EO_826646.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\ig/MY_499027.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\basophil/BA_754114.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\ig/PMY_772363.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\platelet/PLATELET_517943.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\eosinophil/EO_171779.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\erythroblast/ERB_428153.jpg,ERB,0,NEUTROPHIL
Images/PBC_dataset_normal_DIB\monocyte/MO_350301.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\ig/MMY_593667.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\eosinophil/EO_850861.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\ig/PMY_571915.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\ig/MMY_236128.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\monocyte/MO_47583.jpg,MO,6,IG
Images/PBC_dataset_normal_DIB\neutrophil/BNE_636142.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\basophil/BA_309583.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\neutrophil/SNE_751957.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\eosinophil/EO_706197.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\platelet/PLATELET_440306.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\erythroblast/ERB_666912.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\ig/MMY_339735.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\platelet/PLATELET_553965.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\eosinophil/EO_545985.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\eosinophil/EO_701790.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\basophil/BA_327890.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\ig/MY_44959.jpg,IG,3,MO
Images/PBC_dataset_normal_DIB\ig/MMY_291261.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\eosinophil/EO_756363.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\ig/MY_635777.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\lymphocyte/LY_828116.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\eosinophil/EO_23944298.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\lymphocyte/LY_264329.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\eosinophil/EO_713227.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\neutrophil/SNE_244555.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\platelet/PLATELET_927025.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\basophil/BA_812946.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\eosinophil/EO_909845.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\erythroblast/ERB_470745.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\erythroblast/ERB_707354.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\eosinophil/EO_992859.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\eosinophil/EO_75419.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\ig/MMY_523610.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\erythroblast/ERB_298621.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\lymphocyte/LY_670241.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\neutrophil/NEUTROPHIL_985581.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\ig/PMY_502322.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\monocyte/MO_579851.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\ig/MMY_327817.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\eosinophil/EO_195564.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\monocyte/MO_678002.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\platelet/PLATELET_193135.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\platelet/PLATELET_993883.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\basophil/BA_474348.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\ig/MY_57143.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\neutrophil/SNE_457299.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\erythroblast/ERB_313180.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\neutrophil/SNE_82483.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\neutrophil/SNE_210288.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\monocyte/MO_159321.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\erythroblast/ERB_894808.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\lymphocyte/LY_995949.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\platelet/PLATELET_200515.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\eosinophil/EO_227113.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\platelet/PLATELET_670903.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\neutrophil/BNE_41833.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\neutrophil/BNE_187111.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\eosinophil/EO_583975.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\erythroblast/ERB_353900.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\ig/PMY_548200.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\lymphocyte/LY_437182.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\ig/PMY_234773.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\ig/MMY_139399.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\neutrophil/BNE_496119.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\platelet/PLATELET_108045.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\ig/MY_406153.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\eosinophil/EO_329444.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\ig/PMY_819459.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\neutrophil/BNE_721607.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\ig/MY_42829.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\platelet/PLATELET_568896.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\ig/MY_74286.jpg,IG,3,MO
Images/PBC_dataset_normal_DIB\lymphocyte/LY_528736.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\lymphocyte/LY_242718.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\monocyte/MO_155861.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\ig/MY_922229.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\ig/PMY_330168.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\neutrophil/SNE_422423.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\monocyte/MO_557970.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\neutrophil/SNE_670650.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\eosinophil/EO_453896.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\erythroblast/ERB_951723.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\lymphocyte/LY_962162.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\lymphocyte/LY_832073.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\neutrophil/BNE_890818.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\lymphocyte/LY_90345.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\eosinophil/EO_282946.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\eosinophil/EO_19043.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\monocyte/MO_739920.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\monocyte/MO_245512.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\monocyte/MO_921238.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\platelet/PLATELET_361220.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\ig/MY_471394.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\basophil/BA_391096.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\monocyte/MO_66318.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\neutrophil/BNE_155905.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\ig/PMY_816425.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\eosinophil/EO_504106.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\eosinophil/EO_67081.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\ig/MMY_925344.jpg,IG,3,NEUTROPHIL
Images/PBC_dataset_normal_DIB\eosinophil/EO_893709.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\monocyte/MO_619116.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\erythroblast/ERB_490553.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\lymphocyte/LY_820246.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\basophil/BA_427583.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\platelet/PLATELET_435719.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\lymphocyte/LY_705501.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\neutrophil/SNE_207714.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\lymphocyte/LY_918465.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\basophil/BA_177799.jpg,BA,5,LY
Images/PBC_dataset_normal_DIB\neutrophil/BNE_398566.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\neutrophil/BNE_971478.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\platelet/PLATELET_988252.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\ig/MY_956653.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\neutrophil/BNE_397228.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\platelet/PLATELET_862820.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\platelet/PLATELET_412668.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\neutrophil/SNE_145845.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\erythroblast/ERB_811700.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\monocyte/MO_606587.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\platelet/PLATELET_583167.jpg,PLATELET,7,PLATELET
