Path,target
Images/PBC_dataset_normal_DIB\basophil\BA_126424.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_126839.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_127306.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_127671.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_127868.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_128084.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_128423.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_129537.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_129641.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_129960.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_130694.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_130831.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_131174.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_136062.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_136209.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_139275.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_139552.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_139733.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_141630.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_141631.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_142746.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_143059.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_14309.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_144863.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_145728.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_147282.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_147402.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_147981.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_151210.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_152650.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_152708.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_152930.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_153085.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_154572.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_155216.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_155436.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_15551.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_157951.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_1581.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_158249.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_158647.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_161101.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_161905.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_162483.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_162861.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_163898.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_164170.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_165215.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_166254.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_166406.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_166905.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_168028.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_168566.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_172469.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_173262.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_173620.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_174705.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_174731.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_175269.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_175579.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_176200.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_17648.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_177230.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_177799.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_178345.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_178358.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_178853.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_179459.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_180745.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_180990.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_183362.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_184105.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_184682.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_186830.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_18821.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_188974.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_189696.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_190505.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_191120.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_19177.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_193488.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_193863.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_196745.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_196807.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_197357.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_19779.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_198105.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_198153.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_198565.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_199179.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_200697.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_200989.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_201200.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_20161.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_201984.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_20201.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_202924.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_2035.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_204774.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_204791.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_206112.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_206130.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_208484.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_208485.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_209608.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_210917.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_212452.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_212732.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_212748.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_21413.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_214521.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_214538.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_214867.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_214889.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_215988.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_218293.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_218471.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_219183.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_220744.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_221009.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_221057.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_221648.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_22197.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_223010.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_223705.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_223799.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_225229.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_225540.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_227863.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_229541.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_229550.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_229935.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_230866.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_232284.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_236096.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_236251.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_236510.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_237069.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_237864.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_238012.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_238331.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_23839.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_240301.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_240977.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_241069.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_241108.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_241392.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_24200302.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_242626.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_243213.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_243554.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_243889.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_245418.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_24720.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_248930.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_24963.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_249665.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_250000.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_250396.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_250620.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_251042.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_25245.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_254321.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_254820.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_255467.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_255533.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_255913.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_25610.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_258997.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_260100.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_260213.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_262646.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_263028.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_26315.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_264833.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_26527.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_265929.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_266178.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_266370.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_266945.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_267693.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_268064.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_27002.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_270382.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_270647.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_271501.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_271614.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_273021.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_273793.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_274684.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_274864.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_275073.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_275300.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_276179.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_276896.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_277242.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_277489.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_27810.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_278185.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_278732.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_279326.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_279501.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_279676.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_279986.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_280715.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_281662.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_281849.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_283950.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_284260.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_284282.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_285156.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_2862.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_28660.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_287643.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_288192.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_289279.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_290341.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_294650.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_296272.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_296311.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_296615.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_297732.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_298210.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_298364.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_298505.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_301562.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_30267.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_303637.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_303986.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_304705.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_305180.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_305341.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_305735.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_305833.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_305849.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_307542.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_307737.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_307830.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_308527.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_309434.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_309583.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_310106.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_312613.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_31317.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_313484.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_314118.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_314590.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_315376.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_316789.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_317130.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_317405.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_318538.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_319331.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_320878.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_32179.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_322445.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_324268.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_324706.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_32490.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_324965.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_326538.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_326722.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_32675.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_327727.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_327890.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_328970.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_329684.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_32996.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_330244.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_330726.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_331375.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_332289.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_332496.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_332707.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_333456.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_334078.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_335261.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_335749.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_337027.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_338090.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_338546.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_338791.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_338836.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_339232.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_340913.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_343929.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_34424.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_344479.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_345077.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_345373.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_346352.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_347386.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_347981.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_348602.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_348770.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_351114.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_353263.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_353283.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_354415.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_354561.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_356694.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_35708.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_357319.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_35803.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_35932.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_359743.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_35991.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_360043.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_360221.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_360297.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_360335.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_361292.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_362723.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_362887.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_363018.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_363451.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_364012.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_364491.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_365212.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_366588.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_366598.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_368595.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_369405.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_372252.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_372309.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_372647.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_374431.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_374718.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_377164.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_377664.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_378251.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_379184.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_379312.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_379570.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_381452.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_382161.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_38226.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_383011.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_383070.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_383453.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_38346.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_38489.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_385552.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_385583.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_386187.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_386305.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_38638.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_386912.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_387655.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_38810.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_388223.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_389328.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_390271.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_391096.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_391998.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_393233.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_393442.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_395028.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_395492.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_395695.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_396170.jpg,BAS
